种子拯救者,@种子拯救者大老师，它们这是怎么了，能救么？可以恢复到以前么
牛黄解毒丸_,收到一个小男孩的私信说：你放心，黑人来了我绝对不保护你”？？？？弟弟，你保护好自己就行了
Echo是个echo,收到一个小男孩的私信说：你放心，黑人来了我绝对不保护你”？？？？弟弟，你保护好自己就行了
早愚,:得了一个病，不管看什么综艺都忍不住想象把mc或者嘉宾全换成壶会是什么效果，然后突然开始乐#其实病灶就是缺团综
勤丶勉,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
肺癌医僧王昆,一下冒出那么多治疗新冠肺炎的“神药”，世卫组织：迄今无一推荐！瑞德西韦、血浆疗法、磷酸氯喹、阿比朵尔、达芦那韦、奥司他韦，以及双黄连和甘草酸二铵等。迄今为止上述任何一项药物试验尚没有获得随机、双盲、对照研究结果，几项呼声甚高的“神药”，也不例外。
美东侨报,:【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
宜秀长安,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。（新华网）http://t.cn/A67oVtS0
燕赵观察官微,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
河北长城网,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。#河北战“疫”#http://t.cn/A67oVtS0
大桥正道,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。（新华网）http://t.cn/A67oVtS0
陈群8023,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
桐城防范,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。（新华网）http://t.cn/A67oVtS0
KiKi乐天派,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
宁夏日报,:【宁夏首个标准化核医学防护病房投入使用可利用放射性药物诊断治疗恶性肿瘤】近日，宁夏首个核医学门诊及标准化核医学防护病房在自治区人民医院正式投入使用。这意味着核医学正式在宁夏运用。该技术可以帮助人们一目了然了解全身整体状况，可达到早期发现病灶和诊断疾病的目的。　　核医学是采用核技术来诊断、治疗和研究疾病的一门新兴学科。据自治区人民医院核医学科主任郝宏毅介绍，在患者静脉注射核素标记的放射性药物后，通过核医学仪器探测放射性药物在人体的分布，完成甲状腺吸碘率测定、甲状腺静态显像、甲状旁腺显像及心肌灌注显像、全身骨显像，然后进行影像处理及分析，就可以对甲状腺功能亢进症、甲癌、甲状旁腺瘤、心肌供血及恶性肿瘤骨转移等疾病进行诊断。除了对疾病进行诊断外，核医学也可以对临床一些疾病进行治疗，例如分化型甲状腺癌、甲亢、转移性骨肿瘤、类风湿性关节炎等。例如，如果让病人服用碘-131，碘-131核素就会像一个精准的导弹定向进入甲状腺组织里，将残存的病灶消灭。　　“由于病人服用或注射的核素具有一定的放射性，因此核防护病房也与普通的住院病房有所区别。在核医学防护病房，每间病房的窗户前都竖立着一块用来阻挡辐射的铅板。接受治疗的患者服用放射性的药物后，自身会成为一个放射源，易对医务人员及周边人群造成辐射。”该院核医学科主任医师尹彩君表示，核医学防护病房是一个相对封闭隔离的地方，核医学防护病房的墙壁、地板和房顶都采用特殊的铅板和硫酸钡进行防护，避免辐射到外部。　　“以治疗分化型甲状腺癌为例，病人在服完131碘后不能离开病房，而是要隔离3天至5天，等到体内的放射性元素衰变到安全的范围，进行检测安全后方可离院。”尹彩君介绍说，患者接受核医学治疗有严格的流程：如果患者周一住院，周二用药，周三、周四观察，周五出院，随后必须对整个病房进行清理，达到放射安全要求。在治疗过程中，患者和医生需通过可视对讲设备沟通；医护人员需穿上防护铅衣才可进入病房查看病情。根据病情需要，核素治疗患者住院期间需禁碘饮食，医院餐饮中心负责提供无碘饮食并通过特殊窗口给患者送餐。　　据了解，目前自治区人民医院核医学科现配置单人病房4间，双人病房4间，可同时满足12人住院核素治疗，服务更多患者。核医学科门诊将联合甲状腺外科及内分泌科、肿瘤科、骨科开展MDT门诊，全方位为患者提供综合性、个体化的诊疗方案。（宁夏日报记者　尚陵彬）
青年艺术创想周,【#3D打印的新冠肺炎病灶模型#】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。据悉，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
青岛新闻网,:【#3D打印的新冠肺炎病灶模型#公布】新冠肺炎患者的支气管和肺长啥样？3月2日，医学人员利用3D打印技术，经过22小时成功打印出湖南首个新冠肺炎肺部病灶模型。该模型还原了患者的支气管、动脉、静脉，可以立体旋转观察病变范围，在临床治疗中具有一定的指导作用。新华网的秒拍视频
用户3866381919366554819,:这件事情真正的核心悲剧是什么？我看有些人在讨伐肖战跟他粉圈的时候怕是忘得一干二净了，看到官媒报道这件事的时候竟然是开心和幸灾乐祸，针对这件事中暴露出来的粉圈病灶我们民众可以讨论一万遍，但是新闻报道者要想讲这件事就只会让人想吐，因为他们也只敢只能讲粉圈，还是说新闻只要讲一讲一部分疯狂的粉丝连带肖战上电视，你们就满足了
活力内蒙古,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oxyls
四季奶青加混珠加燕麦,:给医生的孩子辅导太容易暴露我的无知了让他翻译阅读，里面有句solvetheprobleminKaty’sbrain小男孩冷静说道：去除Katy脑子里的病灶我…………………？？？哦！对！没错！你翻的很好！病灶…
重庆校贝贝高端定制校服,:【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布】2020年3月2日，湖南郴州利用3D打印技术，成功打印出湖南首例新冠肺炎模型，用于指导临床治疗。相关负责人介绍，模型数据来自院内一新冠肺炎重症患者，打印模型是为了更直观评估患者病情，给同行一个诊断的依据。
嘉怡小宝儿,:同事妈妈生病，很严重，医院的医生好几个说不能手术了，应该一是因为疫情，二是因为病灶比较多，进展比较快。后来打电话问了一个好心的医生，这位医生说不手术，估计半个月人就没了，告诉了一些需要办理的手续，终于住院手术了。现在医院规定只能一人陪同，同事无法看到妈妈，只能视频，心情可想而知，更重要的是只有同事爸爸一人在医院陪护，很辛苦。真的不太人性化。🙏
晋城政法,:【视频短片丨AI大数据云计算助力疫情防控】总担心自己在乘坐公共交通时成为“密切接触者”，怎么办?别焦虑，大数据帮你精确判断。(@新华网)#3D打印的新冠肺炎病灶模型#新华网的秒拍视频
茂名市广播电视台FM1061,:#1061应急广播#3月3日下午，又有1例新冠肺炎患者在茂名市人民医院治愈出院。截至目前，茂名已累计治愈患者11例。35岁的患者杨某，是湖北省武汉市江岸区人，长期居住武汉工作，系我市第14例新冠肺炎确诊患者。经医院治疗后，复查肺部CT病灶有吸收，复查鼻咽拭子和肛拭子核酸检测连续3天阴性，达出院标准，3月3日予以出院，出院后需要继续隔离观察14天。http://t.cn/A67NVmVl
站长吴昊,:【#3D打印的新冠肺炎病灶模型#】科学和医学的进步比我们想象的要快得多！记得在这次疫情里，好像有某个企业还用3d打印机打印了临时独立隔离病房！[加油]这次利用3d打印的新官肺炎病灶模型，可以三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用[加油][加油]国内的好消息越来越多了！#战疫##就是爱科普#http://t.cn/A67NMdFz
阿官要努力少丧一点,:阿官一定要仔细一点，这种漏病灶的感觉真的很不爽。真的很丢脸，怎么会这么大意
无所为石壁,:这次新冠病毒瘟疫之事给我的启示是:在出现问题的时候，就像一个人生了病，此时不是向人展示他美丽光彩的部分，也不是该把灯光聚焦在美丽绚丽的地方，那样使人们看不到问题，看不到病灶、看不到伤口，又怎能冶疗，此时最应该的是像在手术台室里，手术台上，遮住人好的健康的地方，只露出有病的地方，在无影灯下，没有一丁点儿会藏在阴影中，那样才有可能完全彻底地解决掉病痛。经过冶疗、休养，我们才能在将来更好展示我们的美丽健康。我们院里有位奶奶，八十多岁了，一次崴脚，仗着自已身体一直不错，没吱声，也没休息，可一年过去了，她的脚踝骨已完全变形，加上骨质增生，她的外踝就是一个鼓鼓的大疙瘩，已不能正常走路了。所以当问题出现时，我们何不停下脚步，等问题解决了再往前走，问题不解决，我们就急着赶路，可能将来会有无法解决的更大的后患等着我们。谣言。我在一月二十日看到新闻，第一感觉这个新冠病毒跟非典肺炎是一样的，不可控的。我还发了一条朋友圈:小心翼翼，在家呆着保命吧。这种病毒之所以可怕，是因为它无法控制、不能被人类掌握，跟十七年前的非典很像。当时我并不知道李文亮之事，我也是这种感觉:SARS！我想不会只有我和李文亮有这样的想法、认识吧！造谣生事者，抓！我想说的是，当有不同声音时，不要急着说这与你不同的声音就是谣言！或许是你自己的无知。当你不知道它的真伪时，放着它，真的就损害了谁的利益了吗？为什么不能等等，等到你真的有辨别能力了，真的可以证明它的真假了，再决定该怎么做，不行吗？http://t.cn/R2WxHQ2
南极熊3D打印网,:发布了头条文章：《“3D打印的新冠肺炎病灶模型”上热搜了》“3D打印的新冠肺炎病灶模型”上热搜了
用户5537270917,:科普：❶口服药物经过肠胃，肝脏，才能到达病灶！有副作用和依赖性！还会产生耐药性！苏州·东苑小区
阿官要努力少丧一点,:阿官一定要仔细一点，这种漏病灶的感觉真的很不爽。真的很丢脸，怎么会这么大意
无所为石壁,:这次新冠病毒瘟疫之事给我的启示是:在出现问题的时候，就像一个人生了病，此时不是向人展示他美丽光彩的部分，也不是该把灯光聚焦在美丽绚丽的地方，那样使人们看不到问题，看不到病灶、看不到伤口，又怎能冶疗，此时最应该的是像在手术台室里，手术台上，遮住人好的健康的地方，只露出有病的地方，在无影灯下，没有一丁点儿会藏在阴影中，那样才有可能完全彻底地解决掉病痛。经过冶疗、休养，我们才能在将来更好展示我们的美丽健康。我们院里有位奶奶，八十多岁了，一次崴脚，仗着自已身体一直不错，没吱声，也没休息，可一年过去了，她的脚踝骨已完全变形，加上骨质增生，她的外踝就是一个鼓鼓的大疙瘩，已不能正常走路了。所以当问题出现时，我们何不停下脚步，等问题解决了再往前走，问题不解决，我们就急着赶路，可能将来会有无法解决的更大的后患等着我们。谣言。我在一月二十日看到新闻，第一感觉这个新冠病毒跟非典肺炎是一样的，不可控的。我还发了一条朋友圈:小心翼翼，在家呆着保命吧。这种病毒之所以可怕，是因为它无法控制、不能被人类掌握，跟十七年前的非典很像。当时我并不知道李文亮之事，我也是这种感觉:SARS！我想不会只有我和李文亮有这样的想法、认识吧！造谣生事者，抓！我想说的是，当有不同声音时，不要急着说这与你不同的声音就是谣言！或许是你自己的无知。当你不知道它的真伪时，放着它，真的就损害了谁的利益了吗？为什么不能等等，等到你真的有辨别能力了，真的可以证明它的真假了，再决定该怎么做，不行吗？http://t.cn/R2WxHQ2
南极熊3D打印网,:发布了头条文章：《“3D打印的新冠肺炎病灶模型”上热搜了》“3D打印的新冠肺炎病灶模型”上热搜了
用户5537270917,:科普：❶口服药物经过肠胃，肝脏，才能到达病灶！有副作用和依赖性！还会产生耐药性！苏州·东苑小区
洮河林区检察,:【被新冠病毒感染的肺部是何样？3D打印模型为你立体还原】3月2日，湖南郴州，郴州市第一人民医院对外透露，该院运用3D打印技术，“打印”出当地一重症新冠肺炎患者的肺部模型，用于指导临床治疗。据介绍，该模型依照患者肺部病灶CT数据进行3D重建制作而成。真实还原了患者的动、静脉及支气管，更直观了解患者的病情变化过程，进行病例讨论及后期科研教学等。http://t.cn/A67Ssu5Z
宿州广播电视台,:【科大讯飞新冠肺炎影像辅助诊断平台问世】在3秒内就可完成一例患者新冠肺炎辅助诊断，阳性病例全召回，病灶召回率达到90%，可为医生提供准确、高效的辅助诊断参考。记者3月2日获悉，近日在“中科院科技攻关指挥部”协调下，科大讯飞攻关团队在3天内便快速完成了“新冠肺炎影像辅助诊断平台”建设。http://t.cn/A67CkkBe
谯城区华佗故里,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。（新华网）http://t.cn/A67oVtS0
希帕视频,Bot一直对新冠肺炎很感兴趣，现在这个#3D打印的新冠肺炎病灶模型#，可以帮助大家更好的了解新冠，友情提醒蓝色的是病灶哟，大家觉得这个模型咋样
咦嘎呦,【#3D打印的新冠肺炎病灶模型#长什么样？】#郴州爆料#近日，郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。#郴州爆料#(via@新华网爆料：@郴州急诊虾米@dengqiqing)#郴州[地点]#http://t.cn/A679UeXr
大桥正道,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。（新华网）http://t.cn/A67oVtS0
肿瘤资讯美中嘉和,:#美中嘉和小讲堂#关于#乳腺癌#术后#复查#的问题问：乳腺癌术后2年多常规普通检查，拍胸片和平胸CT那一种伤害风险更小点呢？答：您好，胸片的辐射相对平扫CT而言剂量更少一些，但效果也差很多。如果是要查肺部的病灶的话，还是选择肺部CT更合适。具体选择哪种检查，医生也会根据您的病情来判断。如果您想报名参加免费阅片活动，或者对癌症相关问题感兴趣，想和更多患友交流病情的患者可以入群，请加微信mzjhxzs，可以更方便的交流。
青白江应急,:#抗炎科技日志##科普真相#【3D打印的新冠肺炎病灶模型长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
安徽卫视,:#安徽抗击肺炎#【科大讯飞新冠肺炎影像辅助诊断平台问世】近日，在中科院科技攻关指挥部协调下，科大讯飞攻关团队在3天内快速完成了“新冠肺炎影像辅助诊断平台”建设。3秒内就可完成一例患者新冠肺炎辅助诊断，阳性病例全召回，病灶召回率达到90%，可为医生提供准确、高效的辅助诊断参考。
美眼整形修复十一289874971,:双眼皮手术的并发症感染，眼睑部血供丰富，抗感染能力强，较少发生感染。发生术后感染多由原来的眼部感染病灶所致或者一些工作室、美容院消毒不严格，也会时常发生。所以谨记，做双眼皮想要好的效果，避免双眼皮修复一定要去面诊自己认可的医生，看院内真人案例。
九江共青城发布,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
晋城市中级人民法院,:【视频短片丨AI大数据云计算助力疫情防控】总担心自己在乘坐公共交通时成为“密切接触者”，怎么办?别焦虑，大数据帮你精确判断。(@新华网)#3D打印的新冠肺炎病灶模型#新华网的秒拍视频
裤衩都特么笑掉了,:#3D打印的新冠肺炎病灶模型#赶紧好起来吧，在拖拖真的是小企业就要挂了。各位一线的天使，注意保护好自己。
哈尔滨铁路运输中级法院,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
海南气象服务,:【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
大连日报,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
吉林交通广播,:#关注新冠肺炎#【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#】3月2日，湖南省郴州市第一人民医院透露，该院运用3D打印技术，“打印”出当地一重症新冠肺炎患者的肺部模型，用于指导临床治疗。据介绍，该模型依照患者肺部病灶CT数据进行3D重建制作而成。真实还原了患者的动、静脉及支气管，更直观了解患者的病情变化过程，进行病例讨论及后期科研教学等。（刘振）@中新视频http://t.cn/A67Ssu5Z
用户3866381919366554819,希望女演员能自我启蒙，在性别意识上苏醒过来，不再把自己当作男性欲望的客体，不再以满足男性欲望为目标，不再用男性凝视雕刻身体，而要成为自己。为了个体健康，要追求肌肉、脂肪和力量，追求更强更壮更高更坚定更有攻击性。当你拥有了其他女性所没有的资源，请你活出自己的样式。锁骨上放硬币、放口红，哪怕放地球都不可能让女人生活得更好。如果你的身体只是他人审美、游戏的场地，美不美毫无意义，更何况这是一种以“弱”为导向的病态审美，为的是降低男性控制女性的成本和风险，其极致就是裹足。累代的果效，就削弱了女性的强悍体质，让女人体能越来越弱。看看人家猫科动物，雌雄根本没太多差别，鹰类的雌性捕猎能力更强。接受这种以残弱为美，其实就是自戕。如果用成语来表述，就是禽兽不如。雌鹰和母猫都做得比你强。有国内国外的作业给你抄你都不会吗？——谁让我删博，来一个曝光一个——
血肌酐SCr,:据影识病：贴近胸膜的实性病灶，说一下你的临床诊断http://t.cn/A67CPnng@丁香园
瀚海易学,:#瀚海易学知识课堂#八字，知识八字中食伤太过而无财、印可用者，若食伤太多，日干泄气就会太过，使我身成为弱势。没有财，印可用的话，就会无法泄食伤之旺气，命局中的病灶依然存在。岁运中加强这种局面，日主就可能有性命之忧，故也为短寿者。
新林区法院,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
赵木杉不是你以为的赵木杉,:【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
车报导,:3D打印新冠肺炎患者肺部病灶模型获成功。
红网消费频道,:【湖南首例！郴州#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。相关负责人介绍，模型数据来自院内一新冠肺炎重症患者，打印模型是为了更直观评估患者病情，给同行一个诊断的依据，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0http://t.cn/EhGn2gw
东方卫报,:【#3D打印的新冠肺炎病灶模型#长啥样？】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
语涵视听,:#浙江8输入病例在意大利同一餐厅工作##新型冠状病毒感染肺炎#【浙江公布8例输入病例：8名患者在意大利同一餐厅工作】3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。http://t.cn/A679cqiA2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。#3D打印的新冠肺炎病灶模型#
赵木杉不是你以为的赵木杉,:【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
车报导,:3D打印新冠肺炎患者肺部病灶模型获成功。
红网消费频道,:【湖南首例！郴州#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。相关负责人介绍，模型数据来自院内一新冠肺炎重症患者，打印模型是为了更直观评估患者病情，给同行一个诊断的依据，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0http://t.cn/EhGn2gw
