种花的小神经,:#武汉日记#等复查.....
渡江上寒,:昨天打听了下可以去医院现场挂号预约hpv九价，这两天恰好下巴不明原因红肿可以顺便看下皮肤科，我又考虑到之前结节检查说三个月复查其实已经到时间了。我今天是不是一次性要去医院挂三个号啊
永远的精英爷们,:《山东临沂张志超案舆情观察》》；2016年8月，《民主与法制》杂志2016年第31期发表《山东张志超案复查再次延期》，第三次报道张志超案。http://t.cn/A670Oj4E
如若爱h会深爱h,:我近视10年左右..看电视..看多了....我想治疗近视眼.........但是不知道哪种近视手术最靠谱？价格是多少？@近视眼科室我的情况应该你可以帮忙推荐一下吗？之前去过爱尔眼科，哎，感觉都是让你做贵的，我只想安静的做个近视手术，有这么难吗？希望博主能够推荐沈阳这边良心医院。#近视眼手术后多久复查##北京上海深圳成都昆明沈阳近视手术#
玲珑-红豆,:我们小区最近出门本地人不查，外地人往死了查，过年没回家一直在西安，前天出门去做妇科方面的常规检查，不让出，说了就医也不行，要求看病历，给看了病例的封皮，我跟他们说病例是个人隐私，不给看内容，几个大男人说我们又看不懂，看不懂你看个P，打着防疫的幌子，侵犯隐私，懂点法不……一会儿要出去复查，不想看见那些人……#中国境外确诊病例超过1万#
外当劳卖卖,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。http://t.cn/A67C8laK
卡卡进西,:保佑复试上岸！成功录取，复查高分！！🙏🙏🙏🙏🙏
新张利,#天天原产地[超话]#疫情全球蔓延，更没想到西方发达国家如此佛系防疫，实践证明中国的方式可能是唯一有效的办法，早早的自我隔离，停产、停工、停课！需要的物资怎么办？做为全球制造业体系最完善的中国必须承担起为全球输送物资的重任，目前看也只有中国能做到，出口导向型的制造业会迎来大发展，进而拉动中国经济迅速恢复，当务之急是赶紧无条件的恢复生产，尤其是原材料和零部件的生产；做好防疫的同时，赶紧鼓励工人返工；交通物流必须无条件的畅通！抓防疫真能促生产，说不定中国经济会在制造业的引领下打个翻身仗呢！
来干了这颗佐米曲普坦,:醒了发现牙有点不舒服这疫情让我三个月复查牙周的节奏被中断了好害怕是不是牙周又不好了一口烂牙我真的是脑壳痛怕不是还不三十岁牙就掉没了大家一定要好好刷牙最好吃了东西就刷牙漱口用好冲牙器和牙线我好想念我的口腔医生我想去见他
-轻语er-,:#抑郁症[超话]#要去复查啦。又要说谎话了。反正我是没什么用我感觉，一天比一天更难受。症状也没缓解多少。自残的次数一天天变多，自杀和杀人的想法一天天在加深。可我还是要装的“正常”一点。所以还是要说假话吧。
Psychomath,:绝了，复查问的问题加上了：四十天内有无去过中国。
-轻语er-,:#抑郁症[超话]#要去复查啦。又要说谎话了。反正我是没什么用我感觉，一天比一天更难受。症状也没缓解多少。自残的次数一天天变多，自杀和杀人的想法一天天在加深。可我还是要装的“正常”一点。所以还是要说假话吧。
Psychomath,:绝了，复查问的问题加上了：四十天内有无去过中国。
碗窑土著,:3月3日上午，苍南县首批新冠肺炎治愈出院的2名康复者在温州市第六人民医院血浆捐献服务点，分别成功捐献血浆200ml。此次捐献者陈先生和郑先生是在苍南县人民医院首批治愈出院的康复患者。出院经过14天医学观察隔离后，在医院进行复查各项指标检查均正常，通过该院输血科联系沟通，随即签署了捐献血浆倡议书。同时也出于感恩自己这段时间受到苍医医护人员的悉心照料，希望尽自己的一份绵薄之力，帮助更多有需要的人。http://t.cn/R2WxOzt
戴戴桑style_,:博主，你知道海淀、通州哪里有做好的医院吗？想找个技术和价格都比较好的，@近视眼科室可以顺便帮我预约一下专家吗？#近视手术复查项目都有什么##北京上海深圳成都济南沈阳近视手术#
林疏雨落儿,:23岁，躺在医院长椅上疼晕过去一次。后来做了个手术，自己签的字，醒来的时候左卵巢切的只剩一小块，也许连同我某个没有机会出生的孩子。两个月后复查，B超间里女医生拿根棒变换角度捅下体：“左卵巢呢？我看不到你左卵巢？一点都看不到。”像一场短暂的噩梦，但我也知道这是真的。
一碗炸洋芋-,:贵州教资面试可以复查吗？流程很完整，结构化回答正确，仪表一态，课堂问题活动设置没有出错，除了讲错知识点，但问过别的老师说不是致命错误，不明白为什么没过#教资面试##教资面试成绩#
chemicalj,:前线战报：武汉近三天日均核酸检测20466份多为密接者筛查和患者复查http://t.cn/A67pl0C9
光阴负容颜2018,:希望这次疫情赶快结束，我要带孩子去西安开机，要去复查，要去语言康复，真的等不起了
_是只果壳呀,“删”月删，点赞可把三月所有的不好一键删除！
砂糖枝豆餅,:为了带猫去复查补作业到这个点，太悲哀了。我上次为了出门狂补作业还是小学三年级
Anmnmnmnmnmn,:一个要去复查眼睛的人吃鸡吃到一点…一个陪玩都没了
脏弱酸,:今天脖子不太舒服不知道是为什么希望跟我甲状腺没啥关系比起吃火锅我更想去医院复查
卢不困,:无聊下了一篇新冠的文章讲的一家六口人，其中一个20岁小姑娘（patient1）从wh回来，接触了无湖北接触史的家人（patient2-6），结果家里人全部遭了而她什么症状都没有，连血检和ct都是阴性的，1.26核酸阴性，直到1.28再次复查核酸才呈阳性才确诊。有点意思
弍十壹,:第一反应，怎么开学这么早了，我在家呆的其实都蛮开心的了，随时都有热水，不用人际交往，一个人想干嘛干嘛，想吃啥找我妈，朋友都在，太突然了，就像延迟假期一样突然
防城港发布,:#众志成城抗疫情#【战疫情•走基层丨直面口腔飞沫！他们是防城港离病毒“最近”的人】“您好，请摘下口罩，张大嘴巴，啊……”2月22日，李华洋和同事黄全贵正在市第一人民医院发热门诊为解除隔离的复查人员采集咽拭子标本。今年29岁的李华洋，是市第一人民医院预防保健科医师。疫情期间，李华洋的工作之一就是负责全院医护人员、解除隔离复查人员和突发应急的咽拭子采集工作。http://t.cn/A67p6H6d
花er_herosara,不愿回忆的场景
whatap1ty,:我仔仔得了皮肤病一开始医生说最快要四个月才能治好前天去复查医生说已经好转很多了!!确诊至今才一个月不到如果这么快就能治好我真的要去写一篇治蠕形螨心得!!希望能早日康复
肺癌医僧王昆,问：肿瘤基因检测都有啥用呢？答：肿瘤组织或血液基因检测是评估患者使用药物种类和效果判定非常重要的一环，能从分子层面给医生用药予精确的指导，达到提高疗效、降低副反应的效果。1）选择最有效的肿瘤治疗药物（目前临床上用的靶向治疗药物）。2）通过对相关基因的连续动态分析，判定治疗效果及耐药。3)通过分析基因突变及微卫星稳定性，初步分析PDL1表达和肿瘤负荷（TMB）检测、有助于判定免疫治疗药物应用的有效性。4)检测相关基因的状态，有助于了解肿瘤发生的可能原因。
妹纸丹丹,今天长海医院……直接排到了中原路
莉丽在慕Lizzie,:早上抽血化验酮体2+，准备住院。上午中午居然没吐，下午复查酮体恢复正常，到现在都没吐。我天今天没吐。今天居然没吐。
北京美年大健康医疗体检,:雁玲老师在线📖年前体检的气质小姐姐，从事媒体工作，由于工作原因长期熬夜、饮食不规律、外卖，体检报告数据幽门螺杆菌检测HP1000！阳性❗️明天要去医院🏥复查了。每次看到你们的体检数据呈阳性，我特别揪心。希望你们健健康康得。#体检##北京#北京
王妙语heart,:3.3日今天也是带孩子去复查的日子，心脏彩超结果是心功能恢复不理想，血液检查倒是没问题。靳主任说还是不能确认罹患心肌病的原因，又给开了一些营养心肌的药，让半个月后去复查。
吴荣先的家园最新,:返汉打工族中查出新冠肺炎据悉，从外地务工返汉人员中，某酒店（yj）查出8名隐性无症状患者，占已查的400人中的1/50，可见复工潮中的复查隔离必不可少。武汉
小慢Lily,:年后复工已经有两个星期，由于这两天省内又出现了新增病例，同事今天略有焦虑的和我说，本想去医院复查的，这样又不能去了。同事她比我早一年做的手术，今年她本该是一月末要去医院复查的，结果现在都三月初了她也没去成，用她的话说过了检查的时间自己怎么总感觉脖子疼，是心理作用还是病情复发了
大理小山慢生活,:刚看到人民日报推出了慢性病购药帮助平台，虽说晚了点儿但毕竟还是想到了那些需要长期服药的患者。前几天帮湖北荆州的一位患者在协和医院开了药。他因为疫情无法按计划的时间来北京复查和开药。为了保险起见我分别给他寄了顺丰和EMS双保险，以防万一哪个快递到不了。即使不在疫情重灾区现在看病都是难题别说湖北的了，一些患者需要长期吃药有些药又不能随便停，湖北当地配不上药想想多着急，没有病的人把新冠肺炎看成天大的事情，但很多大病重病病人不仅要防新冠还要治疗原有疾病。2月27日寄出，今天收到，顺丰和邮政都是很靠谱的，邮费都是25元
某种宇宙暗号,:我跟好多男孩子聊天，在他们中间犹犹豫豫，但今天最终决定好好跟小猴子在一起。原因其实还蛮简单的。除了他总是对我无条件的信任，总是接住我的坏脾气，还因为，他们都知道我每天三四点才睡觉，也都知道我明天上午复查。但，只有小猴子今晚跟我讲：别担心，你会好起来的，因为有我在。你今天要早点睡觉，因为明天要早起。我太在意细节了。这种细致入微的小细节，真的是唯一能打动我的点。http://t.cn/RJyjtcN
珠江时报,:#防范新型冠状病毒佛山在行动#【再增7人出院，佛山累计出院66例！】3月3日，佛山再有7名新冠肺炎确诊患者经医护人员的全力救治和专家组确认，身体状况和复查指标符合国家规定的确诊病例出院标准，从佛山市第四人民医院治愈出院。至此，佛山累计出院66例。http://t.cn/A67ptB4L
黄色潜水艇U571,:继续关于新冠肺炎，1月31号确诊，2月12号住院，到今天我已经出院22天，出院后复查4次核酸检测都是阴性，医生说我已经确保了安全和干净的体质，没有病毒了。自身感觉良好，轻微的气短，话说多了会想咳嗽一下，但是这种咳嗽能忍回去，有痰。网上看了，说属于后遗症，静养一段时间能好心理上应该属于PTSD，总觉得自己是个病人，心理状态不佳，感觉周围人的身体不适都是拜自己所赐，有自负感，怕传染给周围的人，疑神疑鬼，觉得医院比家里安全，总想去做核酸检测。怕见人。整日大部分时间都慌得一批。希望这一切都能过去。http://t.cn/z8yF4WN
猫嘟嘟要多吃胡萝卜,:现在去住院，必须做肺部ct，没问题才能进病房。这是上面的规定。但是每个病人可以有一个陪护，没有规定陪护怎么办。当然我是不反对做ct的，顺便还可以复查下有木有结核。然而，就有点迷
zjjane8888,:2020.03.03，浙二、市三医院的日常复查，新冠肺炎的疫情期间还是要好好防护，好好保护自己，为自己也为他人，加油吧🤗金华·横店
胆小妈胆小仔,:妈妈的检查都做完了，主管医生还没跟我们谈，管床医生说了脑部有部分梗阻，小问题。同时我们也申请了乳腺复查，明天做，正常来说后天就可以出院了。检查清楚了，心里也踏实了。姨妈就比较倒霉，两边都是恶性要全切除，手术时间定在周四，希望没有转移。为了安全起见，我还是打算测一下基因，比较乳腺癌遗传概率很高。今天睿宝在沙发上玩的满脸红彤彤，我告诉他脸蛋像红苹果，他特意让我拍给他看。宽每天在房间带这个耳塞对着电脑和手机，边玩边学，让他出门都不愿动
乖崽的日常生活,:#iky自己的小世界[超话]#今日份iky复查派特堡宠物医院半日游深圳·万科东海岸社区一期
木土杜7,:奶奶的眼睛从去年就不舒服了，去检查了，年前去检查，医生让初五去复查，因为疫情的事，初五没有去成，后来说没法治了，很是难过，一直觉得有希望治好的奶奶一下子肯定会觉得失望，给妈妈打电话问她情绪怎么样，说还好，我弟也说奶奶能吃能喝，看着心情也还可以。可是我心里怎么那么难过，时间不能倒退，只能好好照顾她，让她心情能好些了。
石头的妈妈2020,:一直到今天医生查房，我才知道我的新病友是我们本院消化科的老师，我喊她C老师。早上医生告诉我，我复查的核酸是疑似状态，也就是说阴阳未定这么说来我还需要留院再继续观察几天，并复查两次核酸检测心情有点小小的低落，家的归期又推后了…午睡的时间，C老师的手机把我俩都震醒了，接电话后，就听到C老师一直说“是的是的，好好好，谢谢，谢谢。”然后就见C老师慌慌忙忙挂掉电话，戴上眼镜，左右翻动手机屏幕，过了一会儿她转过脸有点着急地问我能不能帮她记一个电话号码，她加这个号码的微信。我连忙点头，接过她的手机，复制粘贴查找，加上了那个微信号，她连忙道谢。这一幕忽然让我想起了我老妈，她玩手机好像也是这样一个状态……还沉浸在自己想妈妈的状态中，就听到C老师对着手机喊了一声“妈妈，你还好撒”。然后C老师就哽咽了，视频那头就听到一个苍老的声音文传出来说“哎呀，这是我的姑娘CC啊，啊，C啊，CC啊”C老师一直握着手机点头，不断地说，诶，诶，妈妈，老娘，老娘，你要坚强点啊。一会就又听到视频里传出另一个年轻一些的女人声音，跟C老师说你放心放心，你屋里老娘蛮好蛮好，我等一会把你的话写在纸上给婆婆看，你再想看你老娘，就跟我发视频，我跟她隔壁床啊。C老师一直感谢视频那头的人，视频挂掉后，她坐在床上摸了好一会儿眼泪，我有点手足无措，不知道这个时候该说些什么。好一会儿后，C老师平复了情绪才哽咽着跟我解释说她妈妈93岁，一个人在一医院住院，又不会借手机，耳朵也不好，她老公也在我们20楼住着。她担心的不得了的时候，跟C老师妈妈一个病房的人加了她的微信，让她看了会儿妈妈，她这才放心多了。我大致听明白了C老师的事，一家几口都感染了住院了，93岁的老婆婆一个人在另一个医院住院，这么些天，一直没联系过……“你老娘叫你把你的照片，还有你姐姐的照片发到我的微信上面来。”C老师那边传来了这样一条语音消息……C老师显得很高兴，急急忙忙戴上眼镜，坐在床上摆弄了好一会儿手机才把照片发过去……唉，心里好酸好酸，真心希望疫情快点过去，希望C老师能一家团聚，希望每一个人都能跟自己的亲人在一起，平平安安，健健康康……
南海发布,:#抗击新冠疫情南海在行动#【捷报！再增7人出院，佛山累计出院66例】3月3日，佛山再有7名新冠肺炎确诊患者经医护人员的全力救治和专家组确认，身体状况和复查指标符合国家规定的确诊病例出院标准，从佛山市第四人民医院治愈出院。至此，佛山累计出院66例。
南海发布,:#抗击新冠疫情南海在行动#【捷报！再增7人出院，佛山累计出院66例】3月3日，佛山再有7名新冠肺炎确诊患者经医护人员的全力救治和专家组确认，身体状况和复查指标符合国家规定的确诊病例出院标准，从佛山市第四人民医院治愈出院。至此，佛山累计出院66例。
smdcuuuuuu,:#与甲亢抗争到底[超话]#上次调整药量一天半片赛治3个月复查，现在已经过了复查时间最近没敢去，脖子这段时间已经小的几乎没有了，这俩天发现脖子好像比之前肿了，有点担心，是否开始反弹了，害怕[悲伤]
如若爱h会深爱h,:我近视10年左右..看电视..看多了....我想治疗近视眼.........但是不知道哪种近视手术最靠谱？价格是多少？@近视眼科室我的情况应该你可以帮忙推荐一下吗？之前去过爱尔眼科，哎，感觉都是让你做贵的，我只想安静的做个近视手术，有这么难吗？希望博主能够推荐沈阳这边良心医院。#近视眼手术后多久复查##北京上海深圳成都昆明沈阳近视手术#
给_我_们_,:明天去复查，挺忐忑的。
wslong888,【父母去世留下房产因拆迁升值七个女儿否认放弃继承权将兄长诉至法院】随着群众生活水平的提高和法治意识的增强，以家庭会议形式约定老人生前赡养、身后财产分配情况的情形越来越多。那么，家庭会议上订立的协议具有法律效力吗？由此产生的纠纷应当如何处理？通化市中级人民法院近期受理一件此类型纠纷，让我们听听法官怎么说。http://t.cn/Aiunespo
星垂林野阔-,:凎！突然想起来三月底要复查
mulanduoduo86,晚安周二，晚安小锦鲤们。愿望交给锦鲤们，你只管努力就行。Ｏ。ｏ〇。〇Ｏｏ。。*。Ｏ。ｏ〇。〇Ｏ。Ｏ。ｏ〇。〇Ｏｏ。〇。〇。Ｏｏ。
河南新乡大冤案,#焦点访谈[超话]##北京[超话]#听说山东省巡视组来海阳了，今天下午去找山东省巡视组反映情况→_→山东海阳违法作乱，烟台市委、市政府高擎保护伞！！！？？？//@红裙zh:山东海阳市政府抗法促腐败(违法破产公企——海阳市政公司、强行剥夺他人工作、歪曲法律正解、滥包滥造豆腐渣工程)，烟台市委、市政府高擎保护伞！http://t.cn/EiMtqzj←_←其实微博的宣传效果还是不错的！！今天下午两点左右，我们二人来到山东海阳信访局，听说山东巡视组在海阳接访，接访厅里平时两位熟悉的面孔不见了，取而代之的是5位年轻的新面孔，他们简单询问了一下我们的案件，做了一下例行登记，告诉我们会给你们转送到当事单位，然后让我们走人。我们要求见巡视组的领导，对方答曰“那有什么巡视组，听风就是雨，你们等也是白等”。在信访局没见到一个巡视组的人影，不知道是谣言纷传，还是巡视人员故意避而不见，还是其它什么原因……？我们只好无奈而返。上级能给我们一个答案吗？
鞋哥哥-,:疫情到底什么时候能结束啊啊啊...本来就快到去医院复查的时候了最近肚子又开始莫名其妙一阵阵绞痛不能大口呼吸不能翻身的那种痛
颖颖anna,第479天：说出你的愿望，很灵的🙏
吐星星的泡泡,:万幸的是复查CT骨头没有问题腰酸是因为肌肉有点劳损🤔开心的是今天吃到了心心念念的八婆婆🍜
胖丁____,:#30dayschallenge#D25✅:拜日式三组+有氧10min+臀部无氧20min今天最大的好消息！！！
克林霉苏,:孕早期，一斤肉没长，吃不下还孕吐，去医院产检，有甲亢征兆还需复查。晚上老张问我，这甲亢还得赶紧去医院再看看，吃不下东西也得吃啊，一点营养没有小孩子咋会好好长，吧啦吧啦，虽说是关心，但是实实在在还是有一种被当成猪的感觉，吃不下怎么长肉长身体卖高价钱
Yan百块,:记录一下，我六今天居然不到9点半就睡了，喜得我恨不得去放鞭炮啊
天津高速交警,:【#天津[地点]#公布一例复阳后治愈出院患者治疗细节】#天津公布一例复阳后治愈出院患者治疗细节#天津第43例确诊病例2月11日出院，2月27日复阳，3月2日再次出院，为何从复阳入院到再次出院仅用了4天？治疗细节来了：第43例确诊病例2月11日出院后，一直在宝坻区集中隔离观察点进行医学观察，27日复查核酸检测结果为阳性，再次转入海河医院观察。该患者2月29日、3月1日两次核酸检测结果均为阴性，经市专家组讨论，于昨日出院，再次转入宝坻区集中隔离观察点进行医学观察。今天，中医一附院在微信公众号上介绍了这名患者复阳入院后的治疗细节：该患者从入院到出院仅用了短短4天时间。重新收治住院时她极度焦虑，海河医院中西医结合病区的李桂伟主任每次查房时候在她床前停留时间最长，除了对病情的充分询问，还要安抚病人的情绪。刚开始，该患者因为排斥中药的味道而拒绝中药治疗，在李桂伟主任耐心的开导下，患者终于尝试着开始服用中药。在服用了第一副中药以后，患者明显感觉睡眠有所改善，逐渐改变了对中医的看法，在医护人员的精心诊疗下，很快康复。（津云）
努力学口腔的花匠,:最近的夜宵合辑
_________薇安桔子,:今天下午接到个电话，说宝宝促甲状腺素偏高，要复查，我可怜的宝宝又要抽个足跟血。
吃阿莫西林的罗红霉素,:我今天好烦躁。为什么。我好烦躁。再晒不到太阳我会持续烦躁，可是有太阳我会紫外线过敏，我烦躁，我想去医院复查，可是门都出不去了！
艾玛大怪兽,:今天去复查b超，显示里面有个五厘米的可能是凝血块的东西，给开了活血化瘀的药看能排出来不，产后42天再去复查b超，要是还在的话要清宫，我TM。。不就生了个娃吗
今日孱陵,:#黄冈给郑爽一家写感谢信#【荆州首例新冠肺炎治愈者献血浆】3月3日上午，经过复查，荆州首个新冠肺炎治愈者王先生身体已恢复健康，在与医护人员沟通后，他决定献血浆。采集的血浆，将用于新冠肺炎重症、危重症患者治疗。王先生是荆州首个确诊的新冠肺炎患者，也是首例治愈者。在荆州市胸科医院医护人员的精心治疗下，于1月27日康复出院。http://t.cn/A67Ni2xd
·宇宙用户0501·,:每当复查文字的时候都觉得自己像初学汉语似的唉好烂
钱多买彩票,:钱多多医院三日游打卡✅能吃能睡能蹦能跳不吐不拉就像没生病一样（急性胰腺炎初期不会影响狗的精神状态所以很多主人都容易忽视最后造成无法挽留的后果…）明天就不用去医院输液啦在家好好吃药一周后复查这次有惊无险…但也给我敲了一个警钟一定不能粗心大意了多多以后饮食都要注重低脂水果啥的也少吃！今年过年他们每天都被家里人投喂了好多沙糖桔！所以真的是量变引起质变！现在你们就看我吃吃草莓就好了
BIGWUGOD,:我又来咯。今天胸肺疼痛没有出现！取而代之是背部右侧感觉肺部位置有点轻微的蠕动？很轻微，也就出现两三回。还是略微咳嗽，但比出院时已经好了太多。因为已经和社区联系过车辆了，应该就是明后天去医院复查了。我还是做了最坏的打算哈，今天把要住院的衣服啊，生活用品啊，病例啊，ct啊，这些都清好了。到时候带着一起去医院，不过我觉得这些东西肯定用不上
